591,Thierry Tulasne,1058412,0,0,0
592,Sandy Mayer,1057783,0,0,0
593,Peter McNamara,1046935,0,0,0
594,Diego Perez,1042224,0,0,0
595,Menno Oosting,1041725,0,0,0
596,Rogier Wassen,1040061,0,0,0
597,Konstantin Kravchuk,1034693,2985,2895,90
598,Thierry Ascione,1031961,0,0,0
599,Nicholas Monroe,1031082,53283,1070,52213
600,Olivier Patience,1030897,0,0,0
601,Ryan Sweeting,1024486,0,0,0
602,Alex Antonitsch,1024171,0,0,0
603,Denis Gremelmayr,1023334,0,0,0
604,Jens Knippschild,1017972,0,0,0
605,Stephen Huss,1010831,0,0,0
606,Kent Carlsson,998956,0,0,0
607,Tennys Sandgren,995904,517118,512068,5050
608,Victor Pecci Sr  ,994408,0,0,0
609,Kim Warwick,994045,0,0,0
610,Jay Berger,992136,0,0,0
611,Daniel Orsanic,991800,0,0,0
612,Adrian Menendez Maceiras,988728,50594,47285,3309
613,Cassio Motta,986595,0,0,0
614,Tomas Behrend,977352,0,0,0
615,Andrew Kratzmann,976085,0,0,0
616,Alexander Popp,976038,0,0,0
617,Filip Polasek,975899,0,0,0
618,Marton Fucsovics,963234,302886,291012,11874
619,Adrian Ungur,961008,0,0,0
620,Nicolas Devilder,959449,0,0,0
621,Ivo Heuberger,950068,0,0,0
622,Jesse Huta Galung,946839,0,0,0
623,John Patrick Smith,946191,83043,53184,29859
624,David Skoch,945943,288,0,288
625,Robbie Koenig,944191,0,0,0
626,Marco Cecchinato,942486,204028,201207,2821
627,Frederik Nielsen,937314,6988,2248,4740
628,Amer Delic,935409,0,0,0
629,Pablo Albano,931670,0,0,0
630,Simon Youl,930856,0,0,0
631,Yoshihito Nishioka,929479,152491,143463,9028
632,Peter Wessels,928863,0,0,0
633,Pavel Slozil,925242,0,0,0
634,Alex Kuznetsov,923666,0,0,0
