381,Patricia Mayr Achleitner,AUT,976233
382,Ines Gorrochategui,ARG,976039
383,Mashona Washington,USA,975863
384,Iroda Tulyaganova,UZB,973104
385,Martina Sucha,SVK,970609
386,Veronica Cepede Royg,PAR,967761
387,Louisa Chirico,USA,965146
388,Alexia Dechaume Balleret,FRA,949605
389,Cagla Buyukakcay,TUR,948018
390,Lina Krasnoroutskaya,RUS,947916
391,Darija Jurak,CRO,946142
392,Janet Lee,TPE,943370
393,Oceane Dodin,FRA,943221
394,Sabine Hack,GER,941568
395,Natalie Grandin,RSA,939023
396,Mima Jausovec,YUG,933926
397,Tina Pisnik,SLO,931077
398,Michelle Larcher De Brito,POR,924144
399,Olivia Rogowska,AUS,911448
400,Shenay Perry,USA,906548
